114.51	4.65	47.83
115.75	4.64	49.39
116.74	4.64	50.50
117.50	4.64	51.22
118.05	4.63	51.60
118.41	4.62	51.68
118.60	4.62	51.53
118.65	4.61	51.18
118.58	4.60	50.69
118.41	4.60	50.10
118.11	4.59	49.49
117.71	4.59	48.89
117.31	4.58	48.34
116.99	4.58	47.89
116.79	4.58	47.57
117.22	4.58	47.80
117.91	4.58	48.28
118.62	4.58	48.83
119.25	4.59	49.35
119.70	4.59	49.77
119.13	4.59	49.52
118.20	4.59	49.01
117.18	4.60	48.45
116.21	4.60	47.90
115.39	4.60	47.43
115.51	4.60	47.56
115.86	4.61	47.81
116.31	4.61	48.09
116.80	4.61	48.33
117.08	4.62	48.33
117.06	4.62	47.99
116.95	4.62	47.56
116.79	4.62	47.07
116.58	4.63	46.55
116.31	4.63	46.07
116.01	4.63	45.64
115.75	4.63	45.29
115.59	4.64	45.02
115.54	4.64	44.86
116.10	4.64	45.07
116.78	4.65	45.41
117.48	4.65	45.82
118.11	4.65	46.25
118.57	4.65	46.65
118.08	4.66	46.73
117.43	4.66	46.77
116.73	4.66	46.80
116.08	4.66	46.87
115.70	4.66	47.03
116.04	4.66	47.46
116.52	4.66	47.93
117.06	4.66	48.39
117.59	4.66	48.82
117.78	4.66	49.05
117.66	4.66	49.10
117.48	4.66	49.09
117.26	4.66	49.03
117.04	4.66	48.94
116.98	4.66	48.90
117.08	4.66	48.92
117.23	4.66	48.91
117.42	4.66	48.88
117.64	4.66	48.80
117.97	4.66	48.62
118.31	4.66	48.35
118.62	4.66	48.05
118.84	4.66	47.70
118.95	4.66	47.33
118.51	4.66	46.82
117.86	4.66	46.30
117.20	4.66	45.83
116.62	4.66	45.47
116.23	4.66	45.26
116.76	4.66	45.69
117.56	4.66	46.29
118.42	4.66	46.92
119.22	4.66	47.48
119.78	4.66	47.80
119.48	4.66	47.29
118.99	4.66	46.64
118.37	4.66	45.92
117.70	4.66	45.23
117.07	4.66	44.74
116.64	4.66	44.70
116.29	4.66	44.80
116.06	4.66	45.03
115.97	4.65	45.40
116.32	4.65	45.99
116.93	4.65	46.72
117.56	4.65	47.44
118.12	4.65	48.10
118.53	4.65	48.63
118.03	4.65	48.49
117.26	4.65	48.14
116.46	4.65	47.76
115.74	4.65	47.41
115.30	4.64	47.25
115.83	4.64	47.78
116.52	4.64	48.41
117.26	4.64	49.06
117.94	4.64	49.67
118.09	4.64	49.94
117.80	4.64	49.90
117.38	4.64	49.75
116.88	4.64	49.50
116.35	4.64	49.17
115.96	4.64	48.80
115.65	4.63	48.42
115.42	4.63	48.04
115.29	4.63	47.69
115.42	4.63	47.51
115.83	4.63	47.51
116.28	4.62	47.53
116.72	4.62	47.54
117.07	4.62	47.50
116.92	4.61	47.13
116.58	4.61	46.64
116.16	4.60	46.14
115.73	4.60	45.66
115.33	4.60	45.27
115.12	4.60	45.17
115.02	4.60	45.18
115.03	4.60	45.28
115.18	4.61	45.47
115.71	4.61	45.85
116.51	4.62	46.35
117.34	4.62	46.83
118.09	4.63	47.21
118.67	4.63	47.42
118.36	4.64	46.83
117.90	4.64	46.13
117.42	4.65	45.44
117.03	4.65	44.89
117.12	4.66	44.94
117.75	4.67	45.62
118.51	4.67	46.46
119.34	4.68	47.35
120.16	4.69	48.18
120.70	4.69	48.50
121.14	4.70	48.68
121.48	4.71	48.76
121.70	4.71	48.75
121.74	4.72	48.63
121.61	4.73	48.44
121.35	4.73	48.24
120.97	4.74	48.08
120.48	4.75	47.99
119.67	4.75	48.16
118.77	4.75	48.47
117.91	4.76	48.87
117.19	4.76	49.36
116.79	4.76	49.96
117.04	4.75	50.77
117.45	4.74	51.52
117.93	4.74	52.15
118.41	4.73	52.54
118.60	4.72	52.19
118.68	4.71	51.60
118.66	4.69	50.85
118.51	4.68	49.99
118.12	4.67	49.15
117.52	4.66	48.37
116.85	4.64	47.69
116.15	4.63	47.14
115.47	4.62	46.78
114.96	4.62	47.05
114.54	4.61	47.54
114.19	4.61	48.11
113.91	4.61	48.68
113.80	4.61	48.95
113.84	4.61	48.88
113.90	4.61	48.72
113.92	4.62	48.52
113.86	4.62	48.30
113.32	4.63	48.11
112.51	4.63	47.98
111.72	4.63	47.97
111.01	4.64	48.12
110.49	4.64	48.46
